date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:47	4489/4489	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a057200-1189%22	https://envato.z-projects.net/html/dino/assets/vendor/vide/dist/jquery.vide.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/vide/dist/jquery.vide.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:48	11461/11461	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a03eff8-2cc5%22	https://envato.z-projects.net/html/dino/assets/vendor/typed.js/lib/typed.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/typed.js/lib/typed.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:48	2162/2162	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e58212-872%22	https://envato.z-projects.net/html/dino/assets/vendor/appear-master/dist/appear.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/appear-master/dist/appear.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:48	5339/5339	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a07b0a6-14db%22	https://envato.z-projects.net/html/dino/assets/vendor/jquery.countdown/dist/jquery.countdown.min.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/jquery.countdown/dist/jquery.countdown.min.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:48	8783/8783	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bba0db8-224f%22	https://envato.z-projects.net/html/dino/assets/js/dino.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/js/dino.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:49	1165/1165	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a780ed6-48d%22	https://envato.z-projects.net/html/dino/assets/js/custom.js	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/js/custom.js	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:49	45796/45796	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2015%20May%202014%2003:04:12%20GMT	https://envato.z-projects.net/html/dino/assets/vendor/strokegap/fonts/Stroke-Gap-Icons.eot	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/strokegap/fonts/Stroke-Gap-Icons.eot	(from https://envato.z-projects.net/html/dino/assets/vendor/strokegap/style.css)
23:10:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2007%20Oct%202017%2002:58:22%20GMT	https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot?	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/font-awesome/fonts/fontawesome-webfontd41dd41d.eot	(from https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/css/font-awesome.min.css)
23:10:50	98024/98024	---M--	200	added ('OK')	font/woff	date:Sat,%2007%20Oct%202017%2002:58:22%20GMT	https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e3e6e.woff	(from https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/css/font-awesome.min.css)
23:10:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2007%20Oct%202017%2002:58:22%20GMT	https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e3e6e.eot	(from https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/css/font-awesome.min.css)
